family,year,quantity,unit,source_title,source_url,locator
Fisheries / Marine,1969,51023009.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1969."
Fisheries / Marine,1970,56084158.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1970."
Fisheries / Marine,1971,56190637.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1971."
Fisheries / Marine,1972,51364110.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1972."
Fisheries / Marine,1973,51026298.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1973."
Fisheries / Marine,1974,53884233.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1974."
Fisheries / Marine,1975,52471059.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1975."
Fisheries / Marine,1976,55749796.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1976."
Fisheries / Marine,1977,55198859.99,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1977."
Fisheries / Marine,1978,57569438.01,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1978."
Fisheries / Marine,1979,58127432.51,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1979."
Fisheries / Marine,1980,58107198.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1980."
Fisheries / Marine,1981,60294567.03,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1981."
Fisheries / Marine,1982,61825610.74,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1982."
Fisheries / Marine,1983,61829336.37,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1983."
Fisheries / Marine,1984,66840731.43,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1984."
Fisheries / Marine,1985,68511982.45,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1985."
Fisheries / Marine,1986,73396060.92,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1986."
